,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
upper_bound[23],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[24],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[25],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[26],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[27],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[28],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[29],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[30],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[31],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
upper_bound[32],inf,,inf,2511012656134600134537143689460698373573099587638741879464054257565646015567166408607767689051810574232222896780675483046598904809106844526631664190811429756108997377057812958423970423430956365657554210822203419501303288063073725761383958792325074507927619711701135749969858728525881805323054777351043809280.00000,22812183440026795624288843226399978083056150131300683448807903838269482604423655228905186321127721560775044503238275230839341136686265564618053469360095870342461403824476813429200215668344320626800033429499727134553268218431616742094800162258451367100114840401612985430831800170783242609014968496897203896320.00000,50884289001059115897480635722665171542355413095593122646654889276933739870981189846281048239554964655136709161081222457196089716143929328100496067218701448456163612076020541431751696200848195789844831592361122795417644158724066785627215907931383896759037965308427099557228216197300610212256591095730916032512.00000,87785138713721278106078986632525521793188648570347154515243282716950653082740682240773491815619745961080529562011194109426069456603381587585563302407590442592938515671514555610441715157499910027099187267304371527426105604604837898120113345222791079308056045399067567589776692894991263640763672755867014397952.00000,149018561292442222534749273982048101037788595641110591449004080755393151026009093979510149136152337169025214045351478580494725571406962574127318574429959290804836766930605621654395371944674233181709534752422747197126924600732410145298674676690539079583611573132660401602915394372017552948005706256286455169024.00000,,
