,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta_median[13],234.82477822483258,0.05767178704136525,11.538422796729229,213.00582190666847,226.9902617778208,234.54532870445252,242.27971309412118,258.5140741001735,40028.20169171942,0.9999981480938724
theta_median[14],335.62451391097295,0.061960281594594775,12.177863610503435,312.64455484631554,327.2898161910001,335.3133120726142,343.63449724020694,360.2435724486319,38629.17613084716,1.0000303641235013
theta_median[15],260.837351906464,0.05363556492030174,11.11754195037327,239.8243688070728,253.33547892671908,260.644394316069,267.96168830323944,283.5108032159869,42964.70510591138,0.9999579888440504
theta_median[16],479.8526618753679,0.10902045282628975,22.334212171761077,436.4359418715263,464.9054905788204,479.8023570794143,494.33439577374224,524.6469373011934,41968.68019069203,1.0000342065786172
theta_median[17],545.078665184219,0.11833854703446407,24.752435370162583,498.53974606047404,528.7897461211334,544.341156852824,560.3749795605652,596.355067320467,43750.53872110019,0.9999860798008228
theta_median[18],533.6523502110007,0.13134452083655465,25.92135477922631,484.7185798661633,516.3137445058584,532.743285901434,550.1412479789324,587.6717868330095,38948.56589763539,1.0000976028755844
theta_median[19],232.1550233289469,0.06489583529317677,12.51241265574198,210.28027069320154,223.65705273508726,231.2728785350497,239.55561263690902,259.6992920870485,37174.784895764096,0.9999833029359232
theta_median[20],252.08400092603847,0.026554403027468074,5.766921501057247,241.03182235613303,248.20026049919755,251.96164846987494,255.8762448601688,263.73709125032906,47164.47394527605,0.9999826591286577
theta_median[21],414.90688711694196,0.07588082570772885,15.466924704832389,384.78398787769095,404.588689535209,414.8541034581535,425.07845266565556,445.91739002870304,41547.39955020011,1.0000079409872904
theta_median[22],252.3038504945028,0.041783368756694375,8.414167300158692,236.3607018238003,246.5554398742426,252.13444607796413,257.8195660604036,269.35745947527244,40552.28984242639,1.0001730032770841
theta_median[23],336.33504091572377,0.05799388978478294,12.316264143573726,313.1514160939882,327.939277679468,335.8869274740479,344.2568828911835,361.5416582918639,45101.76225368793,1.0000602511879724
theta_median[24],299.99872036656797,0.028450884396290486,6.325683249484735,287.84588707729665,295.7145220908046,299.94307936582015,304.15136713120546,312.4931780640519,49433.72539973026,0.9999190745936846
theta_median[25],282.06513026729004,0.04424537633978948,9.113525661535947,264.9218858705373,275.88834642422347,281.84486718589983,287.961922149129,300.7611933578469,42426.48523049718,0.9999866229284806
theta_median[26],276.7296092732995,0.05304683100396803,10.851796676233901,256.0951633977231,269.56443820395685,276.5168605882926,283.642524097879,299.0452000078507,41848.93470741461,0.9999783764118051
theta_median[27],264.51017610112694,0.05718960860813431,12.327212698749154,242.03070438753747,256.2830595455757,263.84099899343994,271.75492806499204,291.2282978158754,46461.74644129942,1.0000318128582026
theta_median[28],274.6397936627091,0.0631423779960067,12.801532636877646,250.31052751199803,266.05182817979676,274.3172879268434,282.78767541146846,300.85233668630264,41103.80891830241,0.9999386076034766
theta_median[29],217.5670115547012,0.04063667324579334,8.168603826084539,202.27595421053925,212.06247538456498,217.2904427243305,222.7253842562708,234.44352699494675,40407.25731153426,0.9999159701274339
theta_median[30],236.8610331384071,0.04326891333259228,9.15571966173914,219.4674716963538,230.71350865880817,236.63623096171568,242.81535811041658,255.72873752181317,44774.7321458822,0.9999832290575424
theta_median[31],278.4703319470276,0.05500915756910995,11.712489214066437,256.1008811551494,270.6796315008034,278.1272274169926,285.9470251047171,302.50648712214434,45334.4571607042,0.9999005062502175
